BusStopCode,NextBusStopCode,Direction,Distance,Operator,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,ServiceNo,StopSequence,WD_FirstBus,WD_LastBus
75009,76059,1,0,SBST,500,2300,500,2300,10,1,500,2300
76059,76069,1,0.6,SBST,502,2302,502,2302,10,2,502,2302
76069,96289,1,1.1,SBST,504,2304,503,2304,10,3,504,2304
96289,96109,1,2.3,SBST,508,2309,507,2308,10,4,508,2308
96109,85079,1,2.7,SBST,509,2311,508,2309,10,5,509,2310
85079,85089,1,3.3,SBST,511,2313,510,2311,10,6,511,2312
85089,85069,1,3.5,SBST,512,2314,511,2312,10,7,512,2313
85069,85059,1,3.8,SBST,513,2315,512,2313,10,8,513,2314
85059,85049,1,4.1,SBST,514,2316,513,2314,10,9,514,2315
85049,85039,1,4.5,SBST,515,2317,514,2315,10,10,515,2316
85039,85029,1,4.8,SBST,517,2319,516,2317,10,11,517,2317
85029,85019,1,5,SBST,517,2319,516,2317,10,12,517,2318
85019,94079,1,5.2,SBST,518,2320,517,2318,10,13,518,2318
94079,94069,1,5.5,SBST,519,2321,518,2319,10,14,519,2319
94069,94059,1,6.1,SBST,520,2322,519,2321,10,15,520,2320
94059,94049,1,6.4,SBST,521,2323,520,2322,10,16,521,2321
94049,94089,1,6.8,SBST,522,2324,521,2323,10,17,522,2322
94089,94039,1,7,SBST,522,2324,521,2323,10,18,522,2322
94039,94029,1,7.3,SBST,523,2325,522,2324,10,19,523,2323
94029,94019,1,7.7,SBST,524,2326,523,2325,10,20,524,2324
94019,93099,1,7.9,SBST,525,2326,524,2326,10,21,525,2325
93099,93089,1,8.3,SBST,526,2327,525,2327,10,22,527,2326
93089,93079,1,8.8,SBST,527,2328,526,2329,10,23,528,2327
93079,93069,1,9.1,SBST,528,2329,527,2330,10,24,529,2328
93069,93059,1,9.4,SBST,529,2330,528,2331,10,25,530,2329
93059,92159,1,9.8,SBST,530,2331,529,2332,10,26,531,2330
92159,92149,1,10.1,SBST,531,2332,530,2333,10,27,532,2331
92149,92139,1,10.4,SBST,532,2333,531,2334,10,28,533,2332
92139,92129,1,10.7,SBST,532,2334,531,2335,10,29,534,2332
92129,92119,1,11.2,SBST,534,2336,533,2337,10,30,536,2334
92119,92109,1,11.7,SBST,535,2337,534,2338,10,31,537,2335
92109,92099,1,11.9,SBST,536,2338,535,2339,10,32,537,2336
92099,92161,1,12.2,SBST,536,2339,535,2339,10,33,538,2336
92161,82071,1,12.7,SBST,538,2341,537,2341,10,34,539,2338
82071,81199,1,13.1,SBST,539,2342,538,2342,10,35,540,2339
81199,81189,1,13.9,SBST,541,2344,540,2344,10,36,541,2341
81189,81179,1,14.2,SBST,541,2345,540,2344,10,37,542,2341
81179,80141,1,14.7,SBST,542,2346,541,2345,10,38,543,2342
80141,80219,1,15.3,SBST,544,2347,543,2347,10,39,544,2343
80219,80169,1,16,SBST,546,2349,545,2349,10,40,545,2345
80169,80159,1,17.4,SBST,549,2353,548,2352,10,41,548,2348
80159,2119,1,18.1,SBST,551,2355,550,2353,10,42,550,2350
2119,3019,1,18.6,SBST,552,2356,551,2354,10,43,551,2351
3019,3059,1,19.6,SBST,554,2359,553,2356,10,44,554,2354
3059,3129,1,19.9,SBST,555,2400,554,2357,10,45,555,2355
3129,3217,1,20.3,SBST,556,1,555,2358,10,46,556,2356
3217,5649,1,20.6,SBST,557,2,556,2359,10,47,557,2357
5649,14061,1,21.5,SBST,600,4,559,1,10,48,600,2400
14061,14071,1,21.8,SBST,600,5,559,2,10,49,601,1
14071,14081,1,22.3,SBST,601,6,600,3,10,50,602,2
14081,14101,1,22.7,SBST,602,7,601,4,10,51,603,3
14101,14141,1,23.1,SBST,603,8,602,4,10,52,603,3
