Source,Target,Operator,ServiceNo,StopSequence
75009,76059,SBST,10,1
76059,76069,SBST,10,2
76069,96289,SBST,10,3
96289,96109,SBST,10,4
96109,85079,SBST,10,5
85079,85089,SBST,10,6
85089,85069,SBST,10,7
85069,85059,SBST,10,8
85059,85049,SBST,10,9
85049,85039,SBST,10,10
85039,85029,SBST,10,11
85029,85019,SBST,10,12
85019,94079,SBST,10,13
94079,94069,SBST,10,14
94069,94059,SBST,10,15
94059,94049,SBST,10,16
94049,94089,SBST,10,17
94089,94039,SBST,10,18
94039,94029,SBST,10,19
94029,94019,SBST,10,20
94019,93099,SBST,10,21
93099,93089,SBST,10,22
93089,93079,SBST,10,23
93079,93069,SBST,10,24
93069,93059,SBST,10,25
93059,92159,SBST,10,26
92159,92149,SBST,10,27
92149,92139,SBST,10,28
92139,92129,SBST,10,29
92129,92119,SBST,10,30
92119,92109,SBST,10,31
92109,92099,SBST,10,32
92099,92161,SBST,10,33
92161,82071,SBST,10,34
82071,81199,SBST,10,35
81199,81189,SBST,10,36
81189,81179,SBST,10,37
81179,80141,SBST,10,38
80141,80219,SBST,10,39
80219,80169,SBST,10,40
80169,80159,SBST,10,41
80159,2119,SBST,10,42
2119,3019,SBST,10,43
3019,3059,SBST,10,44
3059,3129,SBST,10,45
3129,3217,SBST,10,46
3217,5649,SBST,10,47
5649,14061,SBST,10,48
14061,14071,SBST,10,49
14071,14081,SBST,10,50
14081,14101,SBST,10,51
14101,14141,SBST,10,52
14141,14121,SBST,10,53
14121,14131,SBST,10,54
14131,14151,SBST,10,55
14151,14161,SBST,10,56
14161,14171,SBST,10,57
14171,15141,SBST,10,58
15141,15151,SBST,10,59
15151,15161,SBST,10,60
15161,15191,SBST,10,61
15191,15201,SBST,10,62
15201,15221,SBST,10,63
15221,16201,SBST,10,64
16201,16011,SBST,10,65
16011,16021,SBST,10,66
16021,16031,SBST,10,67
16031,16041,SBST,10,68
16041,16051,SBST,10,69
16051,16061,SBST,10,70
16061,16071,SBST,10,71
16071,16081,SBST,10,72
16081,16009,SBST,10,73
16009,16089,SBST,10,1
16089,16079,SBST,10,2
16079,16069,SBST,10,3
16069,16059,SBST,10,4
16059,16049,SBST,10,5
16049,16039,SBST,10,6
16039,16029,SBST,10,7
16029,16019,SBST,10,8
16019,16209,SBST,10,9
16209,15229,SBST,10,10
15229,15219,SBST,10,11
15219,15209,SBST,10,12
15209,15199,SBST,10,13
15199,15169,SBST,10,14
15169,15159,SBST,10,15
15159,15149,SBST,10,16
15149,14189,SBST,10,17
14189,14179,SBST,10,18
14179,14169,SBST,10,19
14169,14159,SBST,10,20
14159,14139,SBST,10,21
14139,14129,SBST,10,22
14129,14119,SBST,10,23
14119,14109,SBST,10,24
14109,14089,SBST,10,25
14089,14069,SBST,10,26
14069,5641,SBST,10,27
5641,3222,SBST,10,28
3222,3111,SBST,10,29
3111,3071,SBST,10,30
3071,3031,SBST,10,31
3031,3011,SBST,10,32
3011,2111,SBST,10,33
2111,80151,SBST,10,34
80151,80161,SBST,10,35
80161,80211,SBST,10,36
80211,80149,SBST,10,37
80149,81171,SBST,10,38
81171,81181,SBST,10,39
81181,81191,SBST,10,40
81191,82079,SBST,10,41
82079,92169,SBST,10,42
92169,92091,SBST,10,43
92091,92101,SBST,10,44
92101,92111,SBST,10,45
92111,92121,SBST,10,46
92121,92131,SBST,10,47
92131,92141,SBST,10,48
92141,92151,SBST,10,49
92151,93051,SBST,10,50
93051,93061,SBST,10,51
93061,93071,SBST,10,52
93071,93081,SBST,10,53
93081,93091,SBST,10,54
93091,94011,SBST,10,55
94011,94021,SBST,10,56
94021,94031,SBST,10,57
94031,94041,SBST,10,58
94041,94051,SBST,10,59
94051,94061,SBST,10,60
94061,94071,SBST,10,61
94071,85021,SBST,10,62
85021,85031,SBST,10,63
85031,85041,SBST,10,64
85041,85051,SBST,10,65
85051,85061,SBST,10,66
85061,85081,SBST,10,67
85081,85071,SBST,10,68
85071,96101,SBST,10,69
96101,96281,SBST,10,70
96281,76061,SBST,10,71
76061,76051,SBST,10,72
76051,75009,SBST,10,73
66009,62129,SBST,100,1
62129,62119,SBST,100,2
62119,61049,SBST,100,3
61049,61039,SBST,100,4
61039,70069,SBST,100,5
70069,70059,SBST,100,6
70059,70049,SBST,100,7
70049,70039,SBST,100,8
70039,70029,SBST,100,9
70029,70019,SBST,100,10
70019,81099,SBST,100,11
81099,81089,SBST,100,12
81089,80089,SBST,100,13
80089,80069,SBST,100,14
80069,80049,SBST,100,15
80049,80039,SBST,100,16
80039,80029,SBST,100,17
80029,1339,SBST,100,18
1339,1349,SBST,100,19
1349,1429,SBST,100,20
1429,1419,SBST,100,21
1419,1529,SBST,100,22
1529,1519,SBST,100,23
1519,1629,SBST,100,24
1629,1619,SBST,100,25
1619,2029,SBST,100,26
2029,3019,SBST,100,27
3019,3059,SBST,100,28
3059,3129,SBST,100,29
3129,3217,SBST,100,30
3217,5649,SBST,100,31
5649,14061,SBST,100,32
14061,14071,SBST,100,33
14071,14081,SBST,100,34
14081,14101,SBST,100,35
14101,14141,SBST,100,36
14141,14121,SBST,100,37
14121,14131,SBST,100,38
14131,14151,SBST,100,39
14151,14161,SBST,100,40
14161,14171,SBST,100,41
