Id,RoadName,Label,Latitude,Longitude
1012,Victoria St,Hotel Grand Pacific,1.296848255,103.8525359
1013,Victoria St,St. Joseph's Ch,1.297709706,103.8532247
1019,Victoria St,Bras Basah Cplx,1.296989512,103.853022
1029,Nth Bridge Rd,Opp Natl Lib,1.296672985,103.8544142
1039,Nth Bridge Rd,Nth Bridge Commercial Cplx,1.298207841,103.8554914
1059,Victoria St,Bugis Stn Exit B,1.300756795,103.8561104
1109,Queen St,Queen St Ter,1.303585776,103.8565037
1112,Victoria St,Opp Bugis Junction,1.300092128,103.8552003
1113,Victoria St,Bugis Stn Exit A,1.301172975,103.856114
1119,Victoria St,Bugis Junction,1.299604109,103.8551293
1121,Victoria St,Stamford Pr Sch,1.303938097,103.85868
1129,Victoria St,Opp Stamford Pr Sch,1.303502692,103.8586453
1139,Nth Bridge Rd,Parkview Sq,1.300330579,103.8571608
1211,Victoria St,Opp Blk 461,1.305518035,103.860545
1219,Victoria St,Blk 461,1.305265985,103.8607202
1229,Nth Bridge Rd,Bef Sultan Mque,1.303375526,103.8596309
1231,Jln Sultan,Opp Textile Ctr,1.30325,103.8610831
1239,Jln Sultan,Sultan Plaza,1.302912366,103.8616182
1311,Kallang Rd,Lavender Stn Exit B,1.307091646,103.862197
1319,Kallang Rd,Lavender Stn Exit A/ICA,1.307574267,103.863256
1329,Nth Bridge Rd,Blk 8,1.304956702,103.8636303
1339,Crawford St,Bef Crawford Bridge,1.307746017,103.8642627
1341,Crawford St,Southbank,1.306475556,103.8645253
1349,Crawford St,Opp Blk 4,1.305686357,103.8654399
1411,Beach Rd,Opp St. John HQ,1.302113329,103.862956
1419,Beach Rd,St. John HQ,1.30202,103.8632633
1421,Beach Rd,Opp Golden Mile Cplx,1.303384444,103.8648389
1429,Beach Rd,Golden Mile Cplx,1.303213609,103.8650158
1511,Beach Rd,Opp The Gateway,1.299198261,103.8586452
1519,Beach Rd,The Gateway,1.299074925,103.8589103
1521,Beach Rd,Opp Plaza Parkroyal,1.300883044,103.860661
1529,Beach Rd,Plaza Parkroyal,1.300416677,103.8604412
1541,Rochor Rd,Bugis Stn Exit D,1.298864654,103.8573458
1549,Ophir Rd,Opp Duo Residences,1.300698689,103.8587312
1559,Ophir Rd,Landmark Village Hotel,1.301687311,103.8575292
1611,Beach Rd,Raffles Hotel,1.295272592,103.8553369
1619,Beach Rd,Esplanade Stn Exit F,1.294286942,103.8550381
1621,Beach Rd,Opp Shaw Twrs,1.296958889,103.8565561
1629,Beach Rd,Shaw Twrs,1.296959722,103.8568653
1631,Middle Rd,Aft Beach Rd,1.296936146,103.8558056
1639,Middle Rd,Bef Beach Rd,1.2973875,103.8555758
2029,Connaught Dr,Opp S'pore Cricket Club,1.288790151,103.8529332
2049,Bras Basah Rd,Raffles Hotel,1.294520912,103.8540216
2051,Raffles Ave,The Float @ Marina Bay,1.289503056,103.8590339
2061,Raffles Ave,The Esplanade,1.289963889,103.8564039
