"","YEAR_MONTH","DAY_TYPE","TIME_PER_HOUR","PT_TYPE","PT_CODE","TOTAL_TAP_IN_VOLUME","TOTAL_TAP_OUT_VOLUME"
"1","2019-09","WEEKDAY",23,"BUS",1012,1351,344
"3","2019-09","WEEKDAY",11,"BUS",1012,1019,2062
"6","2019-09","WEEKDAY",5,"BUS",1012,115,61
"8","2019-09","WEEKDAY",9,"BUS",1012,585,2447
"9","2019-09","WEEKDAY",18,"BUS",1012,3332,3073
"12","2019-09","WEEKDAY",22,"BUS",1012,2223,812
"13","2019-09","WEEKDAY",8,"BUS",1012,944,2667
"16","2019-09","WEEKDAY",21,"BUS",1012,2130,812
"17","2019-09","WEEKDAY",0,"BUS",1012,551,143
"20","2019-09","WEEKDAY",20,"BUS",1012,1805,1145
"21","2019-09","WEEKDAY",7,"BUS",1012,519,877
"23","2019-09","WEEKDAY",14,"BUS",1012,1542,2155
"26","2019-09","WEEKDAY",15,"BUS",1012,1913,1834
"28","2019-09","WEEKDAY",12,"BUS",1012,1261,2523
"30","2019-09","WEEKDAY",10,"BUS",1012,572,2067
"31","2019-09","WEEKDAY",17,"BUS",1012,2547,2503
"33","2019-09","WEEKDAY",6,"BUS",1012,345,643
"35","2019-09","WEEKDAY",19,"BUS",1012,2440,2146
"37","2019-09","WEEKDAY",13,"BUS",1012,1301,2200
"40","2019-09","WEEKDAY",16,"BUS",1012,1859,2103
"41","2019-09","WEEKDAY",7,"BUS",1013,235,219
"43","2019-09","WEEKDAY",13,"BUS",1013,796,708
"45","2019-09","WEEKDAY",19,"BUS",1013,1823,713
"47","2019-09","WEEKDAY",10,"BUS",1013,360,566
"52","2019-09","WEEKDAY",22,"BUS",1013,1482,301
"54","2019-09","WEEKDAY",18,"BUS",1013,2372,1024
"57","2019-09","WEEKDAY",21,"BUS",1013,1634,272
"59","2019-09","WEEKDAY",12,"BUS",1013,659,849
"60","2019-09","WEEKDAY",11,"BUS",1013,474,684
